date,open,close,high,low,volume,turnover,amount
2025-08-26,57.0,56.8,60.27,56.0,80368700.0,0.057999999999999996,4634183100.0
2025-08-27,55.5,55.4,58.26,55.13,74296600.0,0.0536,4227843800.0
2025-08-28,55.11,60.94,60.94,55.1,110482600.0,0.0797,6565991500.0
2025-08-29,63.84,66.02,66.89,63.1,116991300.0,0.08439999999999999,7626447500.0
2025-09-01,68.86,68.82,70.38,66.0,93138700.0,0.0672,6343412500.0
2025-09-02,70.17,63.66,71.5,62.4,111462100.0,0.08039999999999999,7381020400.0
2025-09-03,64.98,64.64,66.31,62.13,62492100.0,0.0451,4040172500.0
2025-09-04,64.16,58.18,66.15,58.18,80415100.0,0.057999999999999996,4869433400.0
2025-09-05,57.98,64.0,64.0,56.48,89848100.0,0.06480000000000001,5439477500.0
2025-09-08,66.99,65.61,68.68,63.3,112321000.0,0.081,7390107700.0
2025-09-09,65.15,65.65,69.19,63.38,86513900.0,0.062400000000000004,5782587400.0
2025-09-10,66.8,72.22,72.22,65.38,82775300.0,0.059699999999999996,5681410200.0
2025-09-11,75.55,79.44,79.44,75.01,88735300.0,0.064,6894805400.0
2025-09-12,79.49,76.35,79.49,75.2,112284500.0,0.081,8668840400.0
2025-09-15,76.99,77.65,80.35,75.3,81070800.0,0.058499999999999996,6297206700.0
2025-09-16,77.9,79.71,82.09,76.3,93938400.0,0.0678,7440548000.0
2025-09-17,84.0,82.61,86.33,81.2,93618400.0,0.0675,7790114200.0
2025-09-18,80.11,80.11,83.4,77.5,95608900.0,0.069,7657151400.0
2025-09-19,80.48,78.3,81.0,77.65,62397700.0,0.045,4923719300.0
2025-09-22,78.0,79.98,80.33,75.59,68589000.0,0.0495,5397740400.0
2025-09-23,83.1,76.5,83.98,74.64,83376800.0,0.0601,6491310000.0
2025-09-24,75.01,74.85,76.0,73.58,71117500.0,0.0513,5301142200.0
2025-09-25,73.0,74.09,75.36,70.0,99106900.0,0.07150000000000001,7203384600.0
2025-09-26,73.0,68.58,73.65,68.55,86262900.0,0.0622,6118714300.000001
2025-09-29,68.59,73.39,73.97,68.59,68093600.0,0.049100000000000005,4922834000.0
2025-09-30,72.56,71.5,73.65,70.8,52314100.0,0.0377,3768498500.0
2025-10-09,71.8,69.69,72.8,69.51,55481000.0,0.04,3935515000.0
2025-10-10,69.5,68.67,72.19,68.61,54465800.0,0.0393,3840928000.0
2025-10-13,63.77,65.6,66.8,63.65,62308700.0,0.0449,4071968200.0
2025-10-14,66.8,61.0,67.18,60.7,73709400.0,0.053200000000000004,4655053800.0
2025-10-15,61.01,62.51,62.88,60.29,47283400.0,0.0341,2923307100.0
2025-10-16,62.52,62.68,64.3,61.85,49962200.0,0.036000000000000004,3144273100.0
2025-10-17,63.0,59.53,63.0,59.0,48894400.0,0.0353,2944149400.0
2025-10-20,61.49,63.2,65.48,61.49,92819000.0,0.067,5929077700.0
2025-10-21,63.8,68.33,68.8,62.8,102939500.0,0.07429999999999999,6818218700.0
2025-10-22,66.66,68.63,70.99,66.32,81508700.0,0.0588,5638808500.0
2025-10-23,66.71,65.75,67.8,64.54,53408400.0,0.0385,3504319200.0
2025-10-24,66.36,69.15,69.77,64.8,82282300.0,0.0594,5584046500.0
2025-10-27,72.8,74.47,75.3,72.0,93282600.0,0.0673,6882708700.0
2025-10-28,74.0,73.9,75.99,72.96,61436700.0,0.0443,4565336800.0
2025-10-29,76.5,74.62,78.0,73.5,62104500.0,0.044800000000000006,4687151400.0
2025-10-30,73.33,72.65,74.65,72.0,49433800.0,0.035699999999999996,3608737600.0
2025-10-31,71.51,68.5,72.08,67.95,60867600.0,0.043899999999999995,4221704500.0
2025-11-03,67.9,69.29,70.17,66.5,52196600.0,0.0377,3551239699.9999995
2025-11-04,70.15,69.22,70.8,68.39,51474200.0,0.0371,3580984400.0
2025-11-05,65.89,68.6,69.15,65.68,39863900.0,0.0288,2681197199.9999995
2025-11-06,69.29,75.46,75.46,69.29,103043400.0,0.07429999999999999,7608584700.0
2025-11-07,74.32,73.04,75.03,71.51,71477000.0,0.0516,5226289000.0
2025-11-10,74.3,74.03,75.06,71.8,69595300.0,0.050199999999999995,5119433000.0
2025-11-11,76.58,75.9,78.32,73.0,91824600.0,0.0662,6968399500.0
2025-11-12,73.25,75.51,76.0,71.58,66635700.0,0.0481,4910547500.0
2025-11-13,74.0,72.17,74.8,71.0,57032000.0,0.041100000000000005,4120070500.0
2025-11-14,70.0,69.11,71.34,68.0,50808100.0,0.0366,3541445600.0
2025-11-17,69.11,70.79,72.38,69.07,47353200.0,0.0342,3369721000.0
2025-11-18,70.7,72.8,75.0,70.7,53389800.0,0.0385,3915128400.0000005
2025-11-19,72.02,71.69,73.61,71.04,33019400.0,0.023799999999999998,2379968600.0
2025-11-20,73.65,70.6,74.93,70.16,39145000.0,0.0282,2806498300.0
2025-11-21,68.01,64.73,68.35,63.58,52848500.0,0.0381,3476887800.0000005
2025-11-24,65.77,64.35,66.0,61.71,45006000.0,0.0325,2861541500.0
2025-11-25,65.01,69.29,70.5,65.01,56345800.0,0.0406,3869713300.0
2025-11-26,68.36,74.0,75.69,68.08,79200500.0,0.0571,5799155300.0
2025-11-27,74.73,73.58,76.76,73.18,58655900.0,0.042300000000000004,4398944000.0
2025-11-28,74.01,75.06,77.0,72.36,51004600.0,0.0368,3802300300.0000005
2025-12-01,74.85,75.56,77.32,74.4,48142600.0,0.0347,3638812900.0
2025-12-02,75.0,73.26,76.0,72.76,39094400.0,0.0282,2893839000.0
2025-12-03,72.54,72.61,75.26,72.01,41418300.0,0.029900000000000003,3030929000.0
2025-12-04,72.35,69.3,72.75,66.28,70606300.0,0.0509,4845305600.0
2025-12-05,69.45,70.12,70.9,67.85,38153700.0,0.0275,2647978600.0
2025-12-08,70.55,75.36,76.66,70.28,73053800.0,0.0527,5409882700.0
2025-12-09,75.0,77.8,79.53,74.02,82160100.0,0.0593,6311261500.0
2025-12-10,80.23,80.57,83.33,78.6,97737600.0,0.0705,7890222800.0
2025-12-11,80.03,78.76,80.95,78.7,50630700.0,0.0365,4042985600.0
2025-12-12,78.01,84.86,86.01,77.92,145632700.0,0.105,12144162600.0
2025-12-15,81.0,80.11,82.08,79.09,79473800.0,0.057300000000000004,6416290500.0
2025-12-16,80.0,78.18,81.7,77.8,44240000.0,0.0319,3512190300.0000005
2025-12-17,77.56,81.41,82.2,77.43,46552500.0,0.0336,3723357000.0
2025-12-18,79.06,76.35,79.92,76.3,46681200.0,0.0337,3627407300.0
2025-12-19,77.0,75.62,78.36,75.12,28746000.0,0.0207,2193243000.0
2025-12-22,76.35,81.82,82.45,76.35,60613000.0,0.0437,4878122400.0
2025-12-23,81.67,81.31,82.86,80.6,32657400.0,0.0236,2661599200.0
2025-12-24,81.9,84.1,84.83,80.68,55347800.0,0.039900000000000005,4576279600.0
2025-12-25,86.64,85.88,89.6,83.63,62294700.0,0.0449,5393901700.0
2025-12-26,84.78,85.49,86.6,83.3,43667800.0,0.0315,3696852800.0000005
2025-12-29,84.3,88.0,91.04,84.11,57472700.0,0.0415,5040963100.0
2025-12-30,88.01,87.4,91.01,86.81,43794400.0,0.0316,3871638600.0
2025-12-31,88.0,84.65,88.42,84.18,33892200.0,0.024399999999999998,2894327100.0
2026-01-05,84.65,84.66,85.6,82.8,38921000.0,0.0281,3270338100.0
2026-01-06,83.2,81.49,83.44,80.0,54651700.0,0.0394,4447342500.0
2026-01-07,82.0,80.6,82.2,79.33,50461000.0,0.0364,4072492500.0
2026-01-08,80.3,81.11,83.8,78.8,47982900.0,0.0346,3920423900.0
2026-01-09,79.66,81.46,83.0,78.26,40617800.0,0.029300000000000003,3268011100.0
2026-01-12,80.65,78.44,80.87,75.8,69409700.0,0.0501,5381528900.0
2026-01-13,78.43,76.36,80.21,75.96,55610400.0,0.0401,4315443400.0
2026-01-14,76.7,76.2,77.5,75.0,46079800.0,0.0332,3506491300.0
2026-01-15,75.0,79.38,79.66,75.0,49206900.0,0.0355,3840720200.0
2026-01-16,80.22,80.33,81.98,79.52,42106200.0,0.0304,3397550700.0
2026-01-19,78.77,77.81,79.12,77.0,40666600.0,0.029300000000000003,3159636900.0
2026-01-20,77.5,74.0,77.74,73.0,52981000.0,0.0382,3954390700.0
2026-01-21,73.1,74.6,75.45,72.9,30992700.0,0.022400000000000003,2313459000.0
2026-01-22,75.21,75.93,75.94,73.49,41699100.0,0.0301,3114055000.0
2026-01-23,75.73,73.1,75.73,73.0,47354500.0,0.0342,3478422800.0000005
2026-01-26,73.0,73.11,74.39,72.13,28746100.0,0.0207,2101459500.0
2026-01-27,72.5,76.54,77.0,71.68,62431800.0,0.045,4683179200.0
2026-01-28,76.99,74.83,77.86,74.7,43406900.0,0.0313,3291639800.0
2026-01-29,75.56,75.18,77.55,74.91,36197300.0,0.026099999999999998,2749137800.0000005
2026-01-30,73.52,77.36,78.31,73.52,44822300.0,0.0323,3442335600.0
2026-02-02,77.39,77.87,80.44,77.09,51255900.0,0.037000000000000005,4041758100.0
2026-02-03,78.87,77.02,80.36,76.91,44119400.0,0.0318,3440852900.0
2026-02-04,76.2,72.94,76.2,71.88,52001900.0,0.0375,3798601200.0
2026-02-05,71.8,73.4,74.36,67.18,82526700.0,0.059500000000000004,5815136300.0
2026-02-06,70.84,72.47,75.0,69.33,71240700.0,0.051399999999999994,5160636100.0
2026-02-09,74.71,74.91,75.89,73.55,58088000.0,0.04190000000000001,4350641000.0
2026-02-10,75.03,77.03,78.7,74.8,50054000.0,0.0361,3877531599.9999995
2026-02-11,76.5,72.33,77.49,72.21,63714600.0,0.046,4670420600.0
2026-02-12,72.5,77.38,77.77,71.53,77151900.0,0.0557,5820277300.0
2026-02-13,76.08,77.98,79.48,75.22,57233200.0,0.041299999999999996,4440963400.0
2026-02-24,80.38,78.91,81.0,78.0,53932800.0,0.038900000000000004,4296168800.0
2026-02-25,78.98,79.52,81.5,78.55,49415900.0,0.0356,3947820200.0
2026-02-26,79.7,85.89,87.47,79.7,108408900.0,0.0782,9186951900.0
2026-02-27,84.05,85.55,88.31,84.0,79261000.0,0.0572,6842518300.0
2026-03-02,84.0,91.03,91.91,84.0,88592900.0,0.0639,7872355300.0
2026-03-03,95.57,94.88,98.69,92.6,116903300.0,0.0843,11144579500.0
2026-03-04,91.0,95.0,96.5,91.0,70385400.0,0.0508,6615956500.0
2026-03-05,97.85,92.7,97.99,92.0,77927600.0,0.0562,7346878700.0
2026-03-06,90.06,95.45,98.5,87.97,90112500.0,0.065,8325184200.0
2026-03-09,90.3,98.24,98.5,87.19,90442600.0,0.0652,8286012200.0
2026-03-10,102.0,108.06,108.06,101.2,91333200.0,0.0659,9599793700.0
2026-03-11,109.33,104.8,111.65,103.71,91369100.0,0.0659,9735043200.0
2026-03-12,106.09,109.3,109.3,101.2,79196500.0,0.0571,8286747300.0
2026-03-13,111.1,110.93,118.98,110.11,103802600.0,0.07490000000000001,11887997000.0
2026-03-16,112.71,119.0,120.5,111.0,87264900.0,0.0629,10116090300.0
2026-03-17,117.0,109.71,117.16,108.89,97244500.0,0.0701,10859955500.0
2026-03-18,111.93,107.38,113.88,101.83,137262600.0,0.099,14598556900.0
2026-03-19,104.0,111.72,114.11,104.0,82716600.0,0.059699999999999996,9174257900.0
2026-03-20,117.06,116.06,119.55,114.03,92861600.0,0.067,10877520800.0
2026-03-23,110.27,105.23,113.9,104.9,83337900.0,0.0601,9080066800.0
2026-03-24,108.3,107.52,108.35,101.74,68350900.0,0.0493,7161720000.0
2026-03-25,113.9,108.21,115.01,107.75,81218300.0,0.058600000000000006,9031849000.0
2026-03-26,107.29,104.3,109.32,103.8,65730400.0,0.047400000000000005,7001192800.0
2026-03-27,100.0,102.65,103.95,98.83,63568000.0,0.045899999999999996,6447597100.0
2026-03-30,100.81,105.0,106.8,100.76,51895100.0,0.0374,5391945800.0
2026-03-31,102.9,103.3,107.0,100.57,56663000.0,0.0409,5869867300.0
2026-04-01,107.5,109.0,109.5,104.52,70160700.0,0.0506,7533186899.999999
2026-04-02,107.05,106.25,109.8,104.8,44286900.0,0.0319,4723640800.0
2026-04-03,108.59,110.55,115.28,108.0,62160900.0,0.044800000000000006,6976994000.0
2026-04-07,110.56,109.01,112.0,106.85,45576200.0,0.0329,4968978000.0
2026-04-08,119.91,119.91,119.91,119.9,23223900.0,0.0168,2784781700.0
2026-04-09,128.0,131.9,131.9,126.11,93659000.0,0.0676,12250396700.0
